database,year,title,authors,type,journal_or_source,volume,issue,pages,doi,url,other_urls,query
Crossref,1914,Reply to Professor Lovejoy,James H. Leuba,journal-article,Ethics,24,4,452,10.1086/206853,https://doi.org/10.1086/206853,,Arthur O. Lovejoy
Crossref,1940,Coleridge and Kant's Two Worlds,Arthur O. Lovejoy,journal-article,ELH,7,4,341,10.2307/2871524,https://doi.org/10.2307/2871524,,Arthur O. Lovejoy
Crossref,1968,Owen Lovejoy: Abolitionist in Congress (review),,journal-article,Civil War History,14,2,188-189,10.1353/cwh.1968.0014,https://doi.org/10.1353/cwh.1968.0014,,Arthur O. Lovejoy
Crossref,1911,The Import of Vitalism,A. O. Lovejoy,journal-article,Science,34,864,75-80,10.1126/science.34.864.75.b,https://doi.org/10.1126/science.34.864.75.b,,Arthur O. Lovejoy
Crossref,1907,Professor Ormond's philosophy.,Arthur O. Lovejoy,journal-article,Psychological Bulletin,4,11,339-349,10.1037/h0075121,https://doi.org/10.1037/h0075121,,Arthur O. Lovejoy
Crossref,1933,America’s Wandering Boys,Owen R. Lovejoy,journal-article,Current History,37,5,565-570,10.1525/curh.1933.37.5.565,https://doi.org/10.1525/curh.1933.37.5.565,,Arthur O. Lovejoy
Crossref,1909,Das Kausalitatsproblem der Biologie,A. O. Lovejoy,journal-article,Science,30,778,761-766,10.1126/science.30.778.761-a,https://doi.org/10.1126/science.30.778.761-a,,Arthur O. Lovejoy
Crossref,1965,"Methods of Estimating Reserves of Crude Oil, Natural Gas, and Natural Gas Liquids",Wallce Lovejoy,edited-book,,,,,10.56021/9780801803987,https://doi.org/10.56021/9780801803987,,Arthur O. Lovejoy
Crossref,1962,"Aerosols, Bronchodilators and Mucolytic Agents",Frank W. Lovejoy; Paul E. Morrow,journal-article,Anesthesiology,23,4,460-472,10.1097/00000542-196207000-00006,https://doi.org/10.1097/00000542-196207000-00006,,Arthur O. Lovejoy
Crossref,1951,523. To Mr. Lovejoy. 23 July. Athenaeum Club.,Anthony Trollope,book-chapter,The Letters of Anthony Trollope,,,,10.1093/oseo/instance.00193666,https://doi.org/10.1093/oseo/instance.00193666,,Arthur O. Lovejoy
Crossref,1924,Committees,Arthur O. Lovejoy,journal-article,Bulletin of the American Association of University Professors,10,6,11,10.2307/40217333,https://doi.org/10.2307/40217333,,Arthur O. Lovejoy
